iter	Passed	Remaining
0	10	2090
1	21	2135
2	29	1913
3	42	2105
4	57	2240
5	69	2240
6	81	2236
7	92	2212
8	106	2251
9	121	2314
10	133	2299
11	145	2281
12	157	2263
13	169	2257
14	182	2250
15	191	2207
16	197	2126
17	208	2107
18	219	2093
19	231	2079
20	245	2096
21	256	2074
22	267	2059
23	278	2039
24	289	2025
25	301	2016
26	311	1998
27	321	1975
28	331	1955
29	341	1933
30	351	1917
31	362	1900
32	372	1886
33	383	1872
34	393	1857
35	404	1841
36	415	1829
37	426	1816
38	435	1799
39	446	1787
40	457	1773
41	468	1760
42	478	1746
43	489	1734
44	502	1729
45	513	1719
46	523	1704
47	534	1691
48	545	1679
49	555	1665
50	565	1651
51	576	1640
52	590	1637
53	600	1623
54	611	1611
55	621	1597
56	631	1585
57	636	1557
58	646	1546
59	651	1521
60	662	1509
61	672	1497
62	683	1486
63	692	1472
64	704	1463
65	715	1453
66	730	1449
67	740	1438
68	752	1428
69	761	1414
70	772	1403
71	782	1391
72	793	1380
73	805	1370
74	816	1360
75	826	1348
76	836	1335
77	846	1323
78	855	1310
79	866	1299
80	876	1287
81	886	1275
82	897	1264
83	907	1253
84	917	1241
85	927	1229
86	937	1217
87	952	1211
88	962	1200
89	972	1188
90	985	1180
91	998	1171
92	1007	1159
93	1018	1148
94	1028	1136
95	1037	1124
96	1048	1113
97	1058	1101
98	1068	1090
99	1079	1079
100	1089	1067
101	1100	1057
102	1111	1046
103	1121	1034
104	1131	1023
105	1141	1012
106	1152	1001
107	1163	990
108	1173	980
109	1184	969
110	1195	958
111	1207	948
112	1219	938
113	1229	927
114	1240	916
115	1250	905
116	1262	895
117	1272	884
118	1282	873
119	1294	862
120	1304	851
121	1315	840
122	1325	830
123	1336	818
124	1346	808
125	1357	797
126	1367	785
127	1378	775
128	1388	764
129	1398	752
130	1409	742
131	1419	731
132	1429	720
133	1440	709
134	1450	698
135	1457	685
136	1468	675
137	1478	664
138	1489	653
139	1499	642
140	1512	633
141	1524	622
142	1535	612
143	1547	601
144	1558	591
145	1565	579
146	1576	568
147	1588	558
148	1599	547
149	1608	536
150	1619	525
151	1629	514
152	1639	503
153	1650	492
154	1660	482
155	1671	471
156	1682	460
157	1692	449
158	1702	439
159	1712	428
160	1722	417
161	1733	406
162	1743	395
163	1754	385
164	1765	374
165	1776	363
166	1787	353
167	1797	342
168	1807	331
169	1818	320
170	1829	310
171	1840	299
172	1850	288
173	1860	278
174	1872	267
175	1883	256
176	1893	245
177	1904	235
178	1915	224
179	1925	213
180	1935	203
181	1946	192
182	1957	181
183	1969	171
184	1979	160
185	1990	149
186	2001	139
187	2011	128
188	2021	117
189	2031	106
190	2041	96
191	2053	85
192	2063	74
193	2074	64
194	2084	53
195	2094	42
196	2104	32
197	2115	21
198	2124	10
199	2135	0
